day,Temperature_Avg_forecast,Temperature_Avg_original,temp_absolute_forecast,temp_absolute_original
2020-12-30,-0.5977112054824829,-0.3152269014019253,21.157693022439723,22.666666666666668
2020-12-31,-0.34352052211761475,-1.157640135871464,22.515527904820438,18.166666666666668
2021-01-01,-1.7957615852355957,-1.8232505927362852,14.757951792966017,14.61111111111111
2021-01-02,-1.8394138813018799,-2.06245435067208,14.52477011411695,13.333333333333334
2021-01-03,-1.9634243249893188,-2.020853697118029,13.862331569992138,13.555555555555555
2021-01-04,-1.8184006214141846,-1.719248958851157,14.637018670556323,15.166666666666666
2021-01-05,-1.671437382698059,-1.428044383972798,15.422066372993005,16.72222222222222
2021-01-06,-1.2658885717391968,-1.313642586699157,17.58842555948424,17.333333333333332
2021-01-07,-1.0971980094909668,-1.469645037526849,18.489536200979607,16.5
2021-01-08,-1.4704920053482056,-1.8752514096788493,16.495475670324073,14.333333333333334
2021-01-09,-2.0333492755889893,-2.4576605594355674,13.488806719214292,11.222222222222223
2021-01-10,-2.4244744777679443,-2.6136630102632594,11.39949551446619,10.388888888888891
2021-01-11,-2.3340532779693604,-2.4576605594355674,11.882507155837004,11.222222222222223
2021-01-12,-2.160586357116699,-2.1456556577801824,12.809132132625875,12.888888888888891
2021-01-13,-2.044970750808716,-1.7920501025707467,13.426727164491128,14.777777777777779
2021-01-14,-1.7876787185668945,-1.6984486320741312,14.801128821199741,15.277777777777779
2021-01-15,-1.6576651334762573,-1.5528463446349514,15.495634924580555,16.055555555555557
2021-01-16,-1.4286521673202515,-1.4904453643038746,16.718975567312697,16.38888888888889
2021-01-17,-1.2071654796600342,-1.1680402992599779,17.902112362520555,18.111111111111107
2021-01-18,-0.9605347514152527,-1.6464478151315671,19.21956350370588,15.555555555555555
2021-01-19,-1.847166657447815,-1.7816499391822338,14.483356362255993,14.833333333333334
2021-01-20,-1.8030638694763184,-1.7088487954626443,14.718944477151535,15.222222222222221
2021-01-21,-1.645456314086914,-1.5320460178579258,15.560851952286251,16.166666666666668
2021-01-22,-1.3359259366989136,-1.3968438938072594,17.214300214080346,16.88888888888889
2021-01-23,-1.093540906906128,-0.9912375216552589,18.509071698474656,19.055555555555557
2021-01-24,-0.954284131526947,-1.0224380118207976,19.252953042647643,18.88888888888889
2021-01-25,-0.9829884171485901,-0.8456352342160799,19.099620592476995,19.833333333333332
2021-01-26,-1.028573989868164,-0.7104331101654126,18.856111743322632,20.555555555555557
2021-01-27,-0.4586876630783081,-0.575230986114746,21.90032848354181,21.27777777777778
2021-01-28,-0.6295174956321716,-0.7104331101654126,20.98779029558652,20.555555555555557
2021-01-29,-0.8298000693321228,-1.157640135871464,19.91792156041962,18.166666666666668
2021-01-30,-1.2187435626983643,-1.1160394823174136,17.84026459999663,18.388888888888886
2021-01-31,-1.0655769109725952,-1.3240427500876695,18.658449671839637,17.27777777777778
2021-02-01,-1.1281567811965942,-1.1680402992599779,18.32416074511673,18.111111111111107
2021-02-02,-0.9049933552742004,-0.7936344172735156,19.51625433477066,20.11111111111111
2021-02-03,-0.6427171230316162,-0.7104331101654126,20.91728057319962,20.555555555555557
2021-02-04,-0.7284370064735413,-0.6272318030573103,20.459382406711814,21.0
2021-02-05,-0.5678335428237915,-0.8456352342160799,21.317293413866114,19.833333333333332
2021-02-06,-0.7045457363128662,-0.6272318030573103,20.587004708123942,21.0
2021-02-07,-0.6745625734329224,-0.7728340904964893,20.747168660254523,20.222222222222225
2021-02-08,-0.7180196046829224,-0.5856311495032591,20.515030046302023,21.22222222222222
2021-02-09,-0.5684616565704346,-0.689632783388387,21.313938158102978,20.666666666666668
2021-02-10,-0.6263995170593262,-1.5632465080234645,21.0044459023644,16.0
2021-02-11,-1.458885669708252,-1.199240789425516,16.557474352494207,17.944444444444443
